,Category,Population,Neighborhood Mean Income,Lat,Long
91,Oakwood Village,"21,210",48474.71665,43.6925935,-79.4407862
92,O'Connor-Parkview,"18,675",48001.50451,43.7060765,-79.3102072
93,Old East York,"9,233",51332.56881,43.692042,-79.3377516
94,Palmerston-Little Italy,"13,826",49136.897,43.6599648,-79.4174767
95,Parkwoods-Donalda,"34,805",51106.27081,43.7527765,-79.32644
96,Pelmo Park-Humberlea,"10,722",55903.50877,43.721319,-79.5332169
97,Playter Estates-Danforth,"7,804",48601.73697,43.6869517,-79.3073413
98,Pleasant View,"15,818",51949.50912,43.7845268,-79.3333992
99,Princess-Rosethorn,"11,051",58207.40741,43.6700497,-79.547744
100,Regent Park,"10,803",41796.46597,43.6603228,-79.3620439
101,Rexdale-Kipling,"10,529",50575.2381,43.7198568,-79.5705997
102,Rockcliffe-Smythe,"22,246",48246.66143,43.6769062,-79.4893716
103,Roncesvalles,"14,974",46820.04689,43.6463166,-79.4490678
104,Rosedale-Moore Park,"20,923",52037.09856,43.6860009,-79.3768476
105,Rouge,"46,496",60033.77903,43.804929,-79.165842
106,Runnymede-Bloor West Village,"10,070",55317.90123,43.6592804,-79.4838116
107,Rustic,"9,941",44857.41088,43.7107469,-79.4981948
108,Scarborough Village,"16,724",46278.20796,43.7387924,-79.2170993
109,South Parkdale,"21,849",42586.98124,43.643832,-79.442534
110,South Riverdale,"27,876",49029.15129,43.678985,-79.3449101
111,St.Andrew-Windfields,"17,812",51794.40789,43.7548135,-79.385534
112,Steeles,"24,623",51506.74374,43.8162137,-79.3145485
113,Stonegate-Queensway,"25,051",51404.12186,43.627833,-79.4844499
114,Tam O'Shanter-Sullivan,"27,446",49784.59344,43.7810585,-79.2981138
115,Taylor-Massey,"15,683",45825.61576,43.737705,-79.285308
116,The Beaches,"21,567",51145.36199,43.6673479,-79.296693
117,Thistletown-Beaumond Heights,"10,360",52691.53675,43.7429033,-79.5712672
118,Thorncliffe Park,"21,108",46251.9685,43.7074843,-79.3435967
119,Trinity-Bellwoods,"16,556",50068.8019,43.6500682,-79.4170732
120,University,"7,607",41937.64172,43.6628917,-79.3956564
121,Victoria Village,"17,510",47537.43068,43.7357352,-79.3124184
122,Waterfront Communities-The Island,"65,913",52233.21086,43.6416481,-79.3779212
123,West Hill,"27,392",47628.03138,43.769163,-79.182803
124,West Humber-Clairville,"33,312",54322.59232,43.7356492,-79.6258435
125,Westminster-Branson,"26,274",49447.72573,43.7855803,-79.451092
126,Weston,"17,992",44449.28187,43.7001672,-79.5162643
127,Weston-Pelham Park,"11,098",46991.22807,43.6716304,-79.4577314
128,Wexford/Maryvale,"27,917",50947.5398,43.7612714,-79.3007543
129,Willowdale East,"50,434",44928.8096,43.7711708,-79.4197497
130,Willowdale West,"16,936",44156.75676,43.7711708,-79.4197497
131,Willowridge-Martingrove-Richview,"22,156",52960.60038,43.7206347,-79.584248
132,Woburn,"53,485",49186.91237,43.7764702,-79.2317279
133,Woodbine Corridor,"12,541",47148.30508,43.692177,-79.309937
134,Woodbine-Lumsden,"7,865",51614.42786,43.692177,-79.309937
135,Wychwood,"14,349",49058.33333,43.6779102,-79.4201015
136,Yonge-Eglinton,"11,817",49969.19431,43.706431,-79.398642
137,Yonge-St.Clair,"12,528",50800.1261,43.6880978,-79.3941166
138,York University Heights,"27,593",48545.36617,43.7679803,-79.4872619
139,Yorkdale-Glen Park,"14,804",50652.44755,43.708236,-79.453975
