,LATITUDE,LONGITUDE,DATE,TIME,YEAR,ACCIDENT LANE,District,INTERSECTION,VICTIM,VICTIM AGE,VEHTYPE,DRIVACT,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,Cause,Neighbourh
260,43.726445,-79.53559,2008-02-29T05:00:00.000Z,1530,2008,Major Arterial,Etobicoke York,Intersection,Passenger,30 to 34,Other, , , ,Yes, ,Yes,Speeding,Pelmo Park-Humberlea (23)
261,43.726445,-79.53559,2008-02-29T05:00:00.000Z,1530,2008,Major Arterial,Etobicoke York,Intersection,Driver,55 to 59,"Automobile, Station Wagon",Speed too Fast For Condition, , ,Yes, ,Yes,Speeding,Pelmo Park-Humberlea (23)
262,43.793753,-79.17908,2017-04-21T04:00:00.000Z,1530,2017,Collector,Scarborough,Intersection,Pedestrian,5 to 9, , ,Yes, ,Yes, , ,Unknown,Highland Creek (134)
263,43.818521999999994,-79.306857,2018-02-27T05:00:00.000Z,1530,2018,Collector,Scarborough,Intersection,Pedestrian,10 to 14, , ,Yes, ,Yes, , ,Unknown,Steeles (116)
264,43.730746,-79.606792,2013-08-27T04:00:00.000Z,1533,2013,Minor Arterial,Etobicoke York,Mid-Block,Pedestrian,55 to 59, , ,Yes, ,Yes, , ,Speeding,West Humber-Clairville (1)
265,43.652056,-79.471744,2017-03-07T05:00:00.000Z,1538,2017,Major Arterial,Toronto and East York,Intersection,Passenger,35 to 39,"Automobile, Station Wagon", , , ,Yes, , ,Speeding,High Park-Swansea (87)
266,43.800545,-79.28489,2011-09-01T04:00:00.000Z,1540,2011,Major Arterial,Scarborough,Mid-Block,Driver,35 to 39,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Speeding,Agincourt North (129)
267,43.703646,-79.25159000000001,2013-03-07T05:00:00.000Z,1545,2013,Collector,Scarborough,Intersection,Pedestrian,5 to 9, , ,Yes, , , ,Yes,Unknown,Birchcliffe-Cliffside (122)
268,43.748545,-79.244487,2013-08-30T04:00:00.000Z,1545,2013,Major Arterial,Scarborough,Intersection,Motorcycle Driver,45 to 49,Motorcycle,Improper Lane Change, , ,Yes,Yes,Yes,Speeding,Bendale (127)
269,43.733745,-79.60669,2009-06-05T04:00:00.000Z,1547,2009,Major Arterial,Etobicoke York,Intersection,Motorcycle Driver,35 to 39,Motorcycle,Lost control, , ,Yes,Yes, ,Lost control,West Humber-Clairville (1)
270,43.641405999999996,-79.34917800000001,2016-10-27T04:00:00.000Z,1549,2016,Collector,Toronto and East York,Mid-Block,Driver,50 to 54,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Speeding,South Riverdale (70)
271,43.718589,-79.350383,2018-08-16T04:00:00.000Z,1555,2018,Major Arterial,North York,Intersection,Driver,85 to 89,Passenger Van,Improper Turn, , ,Yes, ,Yes,Improper Turn,Banbury-Don Mills (42)
272,43.729346,-79.280689,2013-01-23T05:00:00.000Z,1556,2013,Major Arterial,Scarborough,Intersection,Pedestrian,45 to 49, , ,Yes, , , , ,Unknown,Clairlea-Birchmount (120)
273,43.634440000000005,-79.56721800000001,2013-11-30T05:00:00.000Z,1556,2013,Major Arterial,Etobicoke York,Intersection,Driver,30 to 34,"Automobile, Station Wagon",Driving Properly, , ,Yes, , ,Unknown,Markland Wood (12)
274,43.637709,-79.458881,2018-05-15T04:00:00.000Z,1558,2018,Major Arterial,Toronto and East York,Intersection,Cyclist,35 to 39,Bicycle, , ,Yes,Yes, , ,Unknown,South Parkdale (85)
275,43.663325,-79.369693,2018-09-21T04:00:00.000Z,1600,2018,Laneway,Toronto and East York,Intersection,Pedestrian,55 to 59, , ,Yes, ,Yes, , ,Unknown,Moss Park (73)
276,43.700686,-79.451724,2018-09-20T04:00:00.000Z,1600,2018,Major Arterial,North York,Intersection,Pedestrian,90 to 94, , ,Yes, ,Yes, , ,Unknown,Briar Hill-Belgravia (108)
277,43.680644,-79.48479,2013-07-29T04:00:00.000Z,1604,2013,Local,Etobicoke York,Intersection,Pedestrian,65 to 69, , ,Yes, ,Yes, , ,Unknown,Rockcliffe-Smythe (111)
278,43.604745,-79.53139,2010-03-02T05:00:00.000Z,1605,2010,Minor Arterial,Etobicoke York,Intersection,Pedestrian,55 to 59,Other, ,Yes, , , ,Yes,Unknown,Alderwood (20)
279,43.793504999999996,-79.24006999999999,2017-06-13T04:00:00.000Z,1606,2017,Major Arterial,Scarborough,Mid-Block,Passenger,0 to 4, , , , ,Yes, , ,Unknown,Agincourt South-Malvern West (128)
280,43.672331,-79.468509,2014-09-30T04:00:00.000Z,1608,2014,Major Arterial,Etobicoke York,Mid-Block,Pedestrian,70 to 74, , ,Yes, , , , ,Unknown,Junction Area (90)
281,43.752045,-79.54239,2009-02-02T05:00:00.000Z,1610,2009,Major Arterial,Etobicoke York,Intersection,Pedestrian,90 to 94,Other, ,Yes, , , ,Yes,Unknown,Humbermede (22)
282,43.704775,-79.368121,2014-07-16T04:00:00.000Z,1615,2014,Collector,North York,Intersection,Pedestrian,5 to 9, , ,Yes, ,Yes, , ,Unknown,Leaside-Bennington (56)
283,43.784380999999996,-79.41668299999999,2014-08-07T04:00:00.000Z,1618,2014,Major Arterial,North York,Intersection,Pedestrian,40 to 44, , ,Yes, ,Yes, , ,Unknown,Newtonbrook East (50)
284,43.725997,-79.55511,2014-10-01T04:00:00.000Z,1620,2014,Local,Etobicoke York,Mid-Block,Motorcycle Driver,20 to 24,Motorcycle,Lost control, , , ,Yes, ,Speeding,Elms-Old Rexdale (5)
285,43.790545,-79.21259,2012-07-30T04:00:00.000Z,1623,2012,Minor Arterial,Scarborough,Mid-Block,Driver,55 to 59,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Lost control,Morningside (135)
286,43.768195,-79.501659,2017-10-03T04:00:00.000Z,1623,2017,Minor Arterial,Etobicoke York,Intersection,Pedestrian,20 to 24, , ,Yes, ,Yes, , ,Unknown,York University Heights (27)
287,43.705802,-79.325069,2013-11-03T04:00:00.000Z,1625,2013,Collector,Toronto and East York,Intersection,Pedestrian,85 to 89,Other, ,Yes, ,Yes, , ,Unknown,O'Connor-Parkview (54)
288,43.676943,-79.489391,2012-08-23T04:00:00.000Z,1627,2012,Collector,Etobicoke York,Intersection,Motorcycle Driver,40 to 44,Motorcycle,Disobeyed Traffic Control, , ,Yes,Yes, ,Disobeyed Traffic Control,Rockcliffe-Smythe (111)
289,43.645845,-79.38629,2010-05-06T04:00:00.000Z,1630,2010,Minor Arterial,Toronto and East York,Mid-Block,Passenger,80 to 84,Other, , , ,Yes, , ,Unknown,Waterfront Communities-The Island (77)
290,43.711009000000004,-79.26977099999999,2017-09-28T04:00:00.000Z,1630,2017,Minor Arterial,Scarborough,Intersection,Pedestrian,55 to 59, , ,Yes, ,Yes, , ,Alcohol & Speeding,Clairlea-Birchmount (120)
291,43.602343,-79.497989,2013-09-18T04:00:00.000Z,1634,2013,Major Arterial,Etobicoke York,Intersection,Cyclist,50 to 54,Bicycle, , ,Yes,Yes, , ,Unknown,New Toronto (18)
292,43.723372,-79.302089,2014-08-20T04:00:00.000Z,1639,2014,Major Arterial,Scarborough,Intersection,Pedestrian,75 to 79, , ,Yes, ,Yes, , ,Unknown,Clairlea-Birchmount (120)
293,43.81296,-79.24306800000001,2015-03-04T05:00:00.000Z,1639,2015,Major Arterial,Scarborough,Intersection,Pedestrian,60 to 64, , ,Yes, , , ,Yes,Unknown,Malvern (132)
294,43.794638,-79.4192,2015-03-19T04:00:00.000Z,1645,2015,Major Arterial,North York,Mid-Block,Pedestrian,80 to 84, , ,Yes, ,Yes, , ,Unknown,Newtonbrook East (50)
295,43.765390999999994,-79.44089100000001,2018-02-20T05:00:00.000Z,1645,2018,Major Arterial,North York,Intersection,Pedestrian,65 to 69, , ,Yes, , , ,Yes,Rain,Willowdale West (37)
296,43.75495,-79.350871,2014-02-26T05:00:00.000Z,1646,2014,Major Arterial,North York,Intersection,Driver,80 to 84,"Automobile, Station Wagon",Driving Properly, , ,Yes, , ,Unknown,Banbury-Don Mills (42)
297,43.665745,-79.49119,2010-07-16T04:00:00.000Z,1647,2010,Major Arterial,Toronto and East York,Intersection,Passenger,85 to 89,Other, , , ,Yes, , ,Speeding,Runnymede-Bloor West Village (89)
298,43.665745,-79.49119,2010-07-16T04:00:00.000Z,1647,2010,Major Arterial,Toronto and East York,Intersection,Passenger,90 to 94,Other, , , ,Yes, , ,Speeding,Runnymede-Bloor West Village (89)
299,43.683645,-79.58019,2008-09-23T04:00:00.000Z,1652,2008,Major Arterial,Etobicoke York,Mid-Block,Driver,25 to 29,"Automobile, Station Wagon",Lost control, , ,Yes, ,Yes,Lost control,West Humber-Clairville (1)
300,43.76113,-79.448695,2015-09-05T04:00:00.000Z,1652,2015,Local,North York,Intersection,Passenger,90 to 94, , , , ,Yes, , ,Unknown,Bathurst Manor (34)
301,43.720403999999995,-79.257442,2015-02-05T05:00:00.000Z,1701,2015,Major Arterial,Scarborough,Mid-Block,Pedestrian,85 to 89, , ,Yes, ,Yes, , ,Speeding,Kennedy Park (124)
302,43.737545000000004,-79.42059,2008-01-07T05:00:00.000Z,1702,2008,Major Arterial,North York,Intersection,Pedestrian,70 to 74,Other, ,Yes, ,Yes, , ,Unknown,Bedford Park-Nortown (39)
303,43.664945,-79.46439000000001,2009-06-17T04:00:00.000Z,1708,2009,Major Arterial,Toronto and East York,Mid-Block,Pedestrian,85 to 89,Other, ,Yes, , , ,Yes,Rain,Junction Area (90)
304,43.600909,-79.504077,2018-09-11T04:00:00.000Z,1708,2018,Major Arterial,Etobicoke York,Intersection,Pedestrian,70 to 74,Other, ,Yes, ,Yes, , ,Unknown,New Toronto (18)
305,43.743716,-79.219142,2015-11-18T05:00:00.000Z,1710,2015,Major Arterial,Scarborough,Mid-Block,Pedestrian,45 to 49, , ,Yes, ,Yes, , ,Rain,Scarborough Village (139)
306,43.602278000000005,-79.51075300000001,2016-07-12T04:00:00.000Z,1710,2016,Collector,Etobicoke York,Intersection,Driver,55 to 59,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Lost control,New Toronto (18)
307,43.722941,-79.415889,2018-11-01T04:00:00.000Z,1712,2018,Major Arterial,North York,Intersection,Passenger,55 to 59,"Automobile, Station Wagon", , , ,Yes, , ,Rain,Bedford Park-Nortown (39)
308,43.794845,-79.31499000000001,2008-11-26T05:00:00.000Z,1714,2008,Major Arterial,Scarborough,Mid-Block,Pedestrian,55 to 59,Other, ,Yes, ,Yes, , ,Rain,L'Amoreaux (117)
309,43.801444000000004,-79.263789,2013-07-08T04:00:00.000Z,1715,2013,Major Arterial,Scarborough,Intersection,Pedestrian,65 to 69, , ,Yes, , , , ,Rain,Agincourt North (129)
310,43.726615,-79.431415,2015-11-30T05:00:00.000Z,1715,2015,Major Arterial,North York,Intersection,Pedestrian,65 to 69, , ,Yes, ,Yes, , ,Unknown,Bedford Park-Nortown (39)
311,43.790507,-79.26992299999999,2018-01-02T05:00:00.000Z,1718,2018,Major Arterial,Scarborough,Intersection,Pedestrian,70 to 74, , ,Yes, ,Yes, , ,Unknown,Agincourt North (129)
312,43.682945000000004,-79.42839000000001,2010-11-26T05:00:00.000Z,1719,2010,Local,Toronto and East York,Intersection,Pedestrian,75 to 79,Other, ,Yes, ,Yes, , ,Unknown,Humewood-Cedarvale (106)
313,43.809645,-79.28999,2012-11-27T05:00:00.000Z,1720,2012,Major Arterial,Scarborough,Intersection,Pedestrian,40 to 44,Other, ,Yes, ,Yes, , ,Unknown,Milliken (130)
314,43.719145000000005,-79.60349000000001,2008-04-28T04:00:00.000Z,1722,2008,Major Arterial,Etobicoke York,Intersection,Pedestrian,85 to 89,Other, ,Yes, ,Yes, , ,Unknown,West Humber-Clairville (1)
315,43.798106,-79.21767,2014-08-01T04:00:00.000Z,1722,2014,Major Arterial,Scarborough,Intersection,Cyclist,15 to 19,Bicycle, , ,Yes,Yes, , ,Speeding,Malvern (132)
316,43.777732,-79.324161,2016-04-22T04:00:00.000Z,1727,2016,Major Arterial,Scarborough,Intersection,Pedestrian,55 to 59, , ,Yes, ,Yes, , ,Unknown,L'Amoreaux (117)
317,43.688113,-79.467433,2016-05-30T04:00:00.000Z,1728,2016,Local,Etobicoke York,Intersection,Driver,65 to 69,"Automobile, Station Wagon",Other, , ,Yes, , ,Unknown,Keelesdale-Eglinton West (110)
318,43.750491,-79.254108,2016-11-10T05:00:00.000Z,1732,2016,Major Arterial,Scarborough,Mid-Block,Pedestrian,60 to 64, , ,Yes, ,Yes, , ,Unknown,Bendale (127)
319,43.825345,-79.29999000000001,2010-12-28T05:00:00.000Z,1734,2010,Major Arterial,Scarborough,Intersection,Pedestrian,30 to 34,Other, ,Yes, ,Yes, , ,Snow, 
320,43.650244,-79.34849100000001,2013-03-29T04:00:00.000Z,1734,2013,Expressway,Toronto and East York,Mid-Block,Passenger,15 to 19, , , , ,Yes, , ,Speeding,Waterfront Communities-The Island (77)
321,43.722663,-79.499889,2015-04-13T04:00:00.000Z,1734,2015,Major Arterial,North York,Mid-Block,Driver,85 to 89,"Automobile, Station Wagon",Following too Close, , ,Yes, , ,Following too Close,Downsview-Roding-CFB (26)
322,43.681227,-79.427661,2016-09-21T04:00:00.000Z,1735,2016,Major Arterial,Toronto and East York,Intersection,Pedestrian,65 to 69, , ,Yes, ,Yes, , ,Unknown,Wychwood (94)
323,43.685427000000004,-79.495136,2017-12-18T05:00:00.000Z,1735,2017,Major Arterial,Etobicoke York,Mid-Block,Pedestrian,85 to 89, , ,Yes, ,Yes, , ,Unknown,Mount Dennis (115)
324,43.816252,-79.22759599999999,2014-12-19T05:00:00.000Z,1740,2014,Minor Arterial,Scarborough,Intersection,Pedestrian,10 to 14, , ,Yes, , , , ,Unknown,Malvern (132)
325,43.651168,-79.411594,2013-12-05T05:00:00.000Z,1741,2013,Major Arterial,Toronto and East York,Intersection,Pedestrian,90 to 94, , ,Yes, ,Yes, , ,Unknown,Trinity-Bellwoods (81)
326,43.637053,-79.436572,2014-10-09T04:00:00.000Z,1745,2014,Major Arterial,Toronto and East York,Mid-Block,Pedestrian,80 to 84, , ,Yes, , , ,Yes,Unknown,South Parkdale (85)
327,43.735545,-79.44269,2008-02-08T05:00:00.000Z,1749,2008,Major Arterial,North York,Intersection,Pedestrian,20 to 24,Other, ,Yes, ,Yes, , ,Rain,Clanton Park (33)
328,43.68439,-79.383662,2018-03-28T04:00:00.000Z,1749,2018,Major Arterial,Toronto and East York,Mid-Block,Motorcycle Driver,35 to 39,Motorcycle,Improper Passing, , ,Yes,Yes, ,Speeding,Rosedale-Moore Park (98)
329,43.741534,-79.232578,2018-11-25T05:00:00.000Z,1750,2018,Minor Arterial,Scarborough,Intersection,Pedestrian,80 to 84, , ,Yes, ,Yes, , ,Unknown,Eglinton East (138)
330,43.655328999999995,-79.365749,2015-09-22T04:00:00.000Z,1751,2015,Major Arterial,Toronto and East York,Intersection,Pedestrian,90 to 94, , ,Yes, ,Yes, , ,Unknown,Moss Park (73)
331,43.664706,-79.437427,2016-01-30T05:00:00.000Z,1753,2016,Major Arterial,Toronto and East York,Intersection,Pedestrian,90 to 94, , ,Yes, ,Yes, , ,Unknown,Dovercourt-Wallace Emerson-Junction (93)
332,43.693645000000004,-79.31159,2008-10-17T04:00:00.000Z,1755,2008,Minor Arterial,Toronto and East York,Intersection,Pedestrian,70 to 74,Other, ,Yes, ,Yes, , ,Unknown,Woodbine-Lumsden (60)
333,43.652541,-79.39986,2014-04-23T04:00:00.000Z,1755,2014,Major Arterial,Toronto and East York,Intersection,Pedestrian,25 to 29, , ,Yes, ,Yes, , ,Unknown,Kensington-Chinatown (78)
334,43.711352000000005,-79.592754,2015-11-03T05:00:00.000Z,1755,2015,Major Arterial,Etobicoke York,Intersection,Cyclist,55 to 59,Bicycle, , ,Yes,Yes, , ,Unknown,West Humber-Clairville (1)
335,43.767645,-79.29229000000001,2009-11-12T05:00:00.000Z,1759,2009,Major Arterial,Scarborough,Intersection,Pedestrian,45 to 49,Other, ,Yes, ,Yes, , ,Unknown,Wexford/Maryvale (119)
336,43.789345000000004,-79.44389,2011-08-13T04:00:00.000Z,1800,2011,Local,North York,Intersection,Pedestrian,75 to 79,Other, ,Yes, ,Yes, , ,Unknown,Newtonbrook West (36)
337,43.779742,-79.217136,2014-11-24T05:00:00.000Z,1800,2014,Major Arterial,Scarborough,Intersection,Driver,25 to 29,"Automobile, Station Wagon",Disobeyed Traffic Control, , ,Yes, , ,Alcohol,Morningside (135)
338,43.618773,-79.564426,2016-05-28T04:00:00.000Z,1800,2016,Minor Arterial,Etobicoke York,Mid-Block,Driver,20 to 24,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Speeding,Islington-City Centre West (14)
339,43.716181,-79.443141,2018-11-20T05:00:00.000Z,1804,2018,Expressway,North York,Intersection,Pedestrian,55 to 59, , ,Yes, , , , ,Unknown,Englemount-Lawrence (32)
340,43.788844,-79.240093,2013-09-05T04:00:00.000Z,1805,2013,Minor Arterial,Scarborough,Intersection,Pedestrian,85 to 89, , ,Yes, , , ,Yes,Unknown,Agincourt South-Malvern West (128)
341,43.651315999999994,-79.397403,2017-04-14T04:00:00.000Z,1805,2017,Major Arterial,Toronto and East York,Mid-Block,Pedestrian,65 to 69, , ,Yes, , , , ,Unknown,Kensington-Chinatown (78)
342,43.777014,-79.31548599999999,2014-12-28T05:00:00.000Z,1809,2014,Major Arterial,Scarborough,Intersection,Pedestrian,80 to 84, , ,Yes, , , ,Yes,Unknown,Tam O'Shanter-Sullivan (118)
343,43.756945,-79.51989,2010-01-08T05:00:00.000Z,1810,2010,Major Arterial,Etobicoke York,Mid-Block,Pedestrian,85 to 89,Other, ,Yes, ,Yes, , ,Unknown,Black Creek (24)
344,43.803004,-79.194843,2017-08-10T04:00:00.000Z,1810,2017,Major Arterial,Scarborough,Intersection,Driver,50 to 54,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Lost control,Rouge (131)
345,43.645872999999995,-79.36342900000001,2016-07-02T04:00:00.000Z,1812,2016,Minor Arterial,Toronto and East York,Mid-Block,Passenger,35 to 39, , , , ,Yes, , ,Speeding,Waterfront Communities-The Island (77)
346,43.734515,-79.447238,2017-05-08T04:00:00.000Z,1815,2017,Major Arterial,North York,Intersection,Motorcycle Driver,25 to 29,Motorcycle,Driving Properly, , ,Yes,Yes, ,Unknown,Clanton Park (33)
347,43.635432,-79.44137099999999,2017-05-24T04:00:00.000Z,1815,2017,Expressway,Toronto and East York,Mid-Block,Cyclist,5 to 9,Bicycle, , ,Yes, , , ,Unknown,South Parkdale (85)
348,43.68162,-79.52972,2018-01-07T05:00:00.000Z,1816,2018,Major Arterial,Etobicoke York,Mid-Block,Driver,85 to 89,"Automobile, Station Wagon",Driving Properly, , ,Yes, , ,Alcohol,Edenbridge-Humber Valley (9)
349,43.730475,-79.27509599999999,2018-01-09T05:00:00.000Z,1817,2018,Major Arterial,Scarborough,Mid-Block,Pedestrian,70 to 74, , ,Yes, ,Yes, , ,Unknown,Ionview (125)
350,43.783128999999995,-79.202304,2018-11-12T05:00:00.000Z,1822,2018,Major Arterial,Scarborough,Mid-Block,Pedestrian,50 to 54, , ,Yes, ,Yes, , ,Unknown,Morningside (135)
351,43.682045,-79.46649000000001,2008-01-25T05:00:00.000Z,1823,2008,Minor Arterial,Toronto and East York,Intersection,Driver,75 to 79,"Automobile, Station Wagon",Failed to Yield Right of Way, , ,Yes, , ,Speeding,Keelesdale-Eglinton West (110)
352,43.670745000000004,-79.45329,2010-01-25T05:00:00.000Z,1825,2010,Minor Arterial,Toronto and East York,Intersection,Pedestrian,35 to 39,Other, ,Yes, ,Yes, , ,Unknown,Weston-Pellam Park (91)
353,43.747851000000004,-79.207637,2016-07-29T04:00:00.000Z,1825,2016,Major Arterial,Scarborough,Intersection,Pedestrian,60 to 64, , ,Yes, ,Yes, , ,Speeding,Guildwood (140)
354,43.737645,-79.24369,2008-01-05T05:00:00.000Z,1826,2008,Major Arterial,Scarborough,Intersection,Pedestrian,30 to 34,Other, ,Yes, ,Yes, , ,Rain,Eglinton East (138)
355,43.720599,-79.611308,2016-08-05T04:00:00.000Z,1829,2016,Major Arterial,Etobicoke York,Mid-Block,Motorcycle Driver,25 to 29,Motorcycle,Lost control, , , ,Yes,Yes,Speeding,West Humber-Clairville (1)
356,43.764189,-79.287677,2017-01-08T05:00:00.000Z,1829,2017,Major Arterial,Scarborough,Intersection,Pedestrian,75 to 79, , ,Yes, ,Yes, , ,Unknown,Dorset Park (126)
357,43.742645,-79.30729000000001,2011-12-02T05:00:00.000Z,1830,2011,Major Arterial,Scarborough,Intersection,Pedestrian,65 to 69,Other, ,Yes, ,Yes, , ,Unknown,Wexford/Maryvale (119)
358,43.800383000000004,-79.299571,2018-12-07T05:00:00.000Z,1830,2018,Major Arterial,Scarborough,Intersection,Pedestrian,80 to 84, , ,Yes, ,Yes, , ,Unknown,L'Amoreaux (117)
359,43.783583,-79.255756,2016-07-06T04:00:00.000Z,1831,2016,Expressway,Scarborough,Mid-Block,Motorcycle Driver,40 to 44,Motorcycle,Lost control, , ,Yes,Yes, ,Speeding,Agincourt South-Malvern West (128)
360,43.756312,-79.446689,2017-09-05T04:00:00.000Z,1832,2017,Local,North York,Intersection,Pedestrian,70 to 74, , ,Yes, ,Yes, , ,Unknown,Bathurst Manor (34)
361,43.764662,-79.57332199999999,2016-03-09T05:00:00.000Z,1835,2016,Major Arterial,Etobicoke York,Mid-Block,Motorcycle Driver,25 to 29,Motorcycle,Speed too Fast For Condition, , , ,Yes, ,Speeding,Humber Summit (21)
362,43.649045,-79.35619,2011-04-30T04:00:00.000Z,1837,2011,Expressway,Toronto and East York,Intersection,Motorcycle Driver,25 to 29,Motorcycle,Exceeding Speed Limit, , ,Yes,Yes, ,Speeding,Waterfront Communities-The Island (77)
363,43.673945,-79.30789,2008-09-17T04:00:00.000Z,1838,2008,Major Arterial,Toronto and East York,Intersection,Truck Driver,45 to 49,Truck - Open,Lost control, , ,Yes, ,Yes,Lost control,The Beaches (63)
364,43.773322,-79.282741,2018-02-21T05:00:00.000Z,1838,2018,Collector,Scarborough,Mid-Block,Pedestrian,40 to 44, , ,Yes, , , ,Yes,Unknown,Dorset Park (126)
365,43.639426,-79.44248499999999,2013-08-23T04:00:00.000Z,1840,2013,Major Arterial,Toronto and East York,Intersection,Pedestrian,70 to 74, , ,Yes, ,Yes, , ,Unknown,South Parkdale (85)
366,43.694125,-79.328006,2014-12-12T05:00:00.000Z,1840,2014,Minor Arterial,Scarborough,Intersection,Pedestrian,40 to 44, , ,Yes, ,Yes, , ,Unknown,Danforth East York (59)
367,43.695545,-79.58959,2012-09-22T04:00:00.000Z,1845,2012,Collector,Etobicoke York,Mid-Block,Pedestrian,15 to 19,Other, ,Yes, ,Yes, , ,Unknown,West Humber-Clairville (1)
368,43.827811,-79.26276700000001,2017-12-20T05:00:00.000Z,1845,2017,Collector,Scarborough,Mid-Block,Pedestrian,55 to 59, , ,Yes, ,Yes, , ,Unknown,Milliken (130)
369,43.773146000000004,-79.283893,2013-04-13T04:00:00.000Z,1846,2013,Expressway,Scarborough,Intersection,Cyclist,35 to 39,Bicycle, , ,Yes,Yes, , ,Alcohol & Speeding,Dorset Park (126)
370,43.795355,-79.415706,2013-12-04T05:00:00.000Z,1847,2013,Local,North York,Intersection,Pedestrian,75 to 79, , ,Yes, ,Yes, , ,Unknown,Newtonbrook East (50)
371,43.684645,-79.280292,2013-07-18T04:00:00.000Z,1850,2013,Collector,Scarborough,Intersection,Pedestrian,35 to 39, , ,Yes, ,Yes, , ,Unknown,Birchcliffe-Cliffside (122)
372,43.683169,-79.472026,2018-09-18T04:00:00.000Z,1850,2018,Major Arterial,Etobicoke York,Intersection,Motorcycle Driver,40 to 44,Motorcycle,Lost control, , ,Yes,Yes, ,Speeding,Keelesdale-Eglinton West (110)
373,43.818743,-79.215091,2013-01-10T05:00:00.000Z,1851,2013,Minor Arterial,Scarborough,Intersection,Driver,70 to 74,"Automobile, Station Wagon",Disobeyed Traffic Control, , ,Yes, , ,Speeding,Malvern (132)
374,43.695372,-79.520099,2018-10-05T04:00:00.000Z,1852,2018,Major Arterial,Etobicoke York,Mid-Block,Motorcycle Driver,45 to 49,Motorcycle,Driving Properly, , ,Yes,Yes, ,Unknown,Humber Heights-Westmount (8)
375,43.647521000000005,-79.52977299999999,2018-12-26T05:00:00.000Z,1853,2018,Major Arterial,Etobicoke York,Mid-Block,Pedestrian,75 to 79, , ,Yes, ,Yes, , ,Unknown,Islington-City Centre West (14)
376,43.751645,-79.45669000000001,2012-07-08T04:00:00.000Z,1855,2012,Major Arterial,North York,Intersection,Pedestrian,25 to 29,Other, ,Yes, ,Yes, , ,Unknown,Clanton Park (33)
377,43.781909000000006,-79.366107,2017-04-26T04:00:00.000Z,1857,2017,Major Arterial,North York,Intersection,Motorcycle Driver,30 to 34,Motorcycle,Driving Properly, , ,Yes,Yes, ,Unknown,Don Valley Village (47)
378,43.754172,-79.619815,2013-09-25T04:00:00.000Z,1859,2013,Major Arterial,Etobicoke York,Intersection,Motorcycle Driver,55 to 59,Motorcycle,Driving Properly, , ,Yes,Yes, ,Speeding,West Humber-Clairville (1)
379,43.630686,-79.427638,2018-06-02T04:00:00.000Z,1904,2018,Major Arterial,Toronto and East York,Mid-Block,Motorcycle Driver,50 to 54,Motorcycle,Driving Properly, , ,Yes,Yes, ,Unknown,Niagara (82)
380,43.656863,-79.452602,2014-07-10T04:00:00.000Z,1909,2014,Minor Arterial,Toronto and East York,Mid-Block,Pedestrian,65 to 69, , ,Yes, ,Yes, , ,Unknown,High Park North (88)
381,43.691545,-79.57079,2011-09-23T04:00:00.000Z,1912,2011,Major Arterial,Etobicoke York,Intersection,Pedestrian,75 to 79,Other, ,Yes, ,Yes, , ,Rain,West Humber-Clairville (1)
382,43.756827,-79.22932,2018-03-02T05:00:00.000Z,1914,2018,Collector,Scarborough,Intersection,Pedestrian,65 to 69, , ,Yes, ,Yes, , ,Unknown,Woburn (137)
383,43.764497999999996,-79.280681,2016-01-03T05:00:00.000Z,1915,2016,Major Arterial,Scarborough,Mid-Block,Pedestrian,35 to 39, , ,Yes, ,Yes, , ,Speeding,Dorset Park (126)
384,43.685214,-79.541393,2015-10-10T04:00:00.000Z,1919,2015,Major Arterial,Etobicoke York,Intersection,Pedestrian,20 to 24, , ,Yes, ,Yes, , ,Speeding,Willowridge-Martingrove-Richview (7)
385,43.712084000000004,-79.372058,2016-10-20T04:00:00.000Z,1922,2016,Major Arterial,North York,Intersection,Pedestrian,60 to 64, , ,Yes, ,Yes, , ,Speeding,Leaside-Bennington (56)
386,43.725833,-79.303104,2014-10-16T04:00:00.000Z,1927,2014,Major Arterial,Scarborough,Mid-Block,Pedestrian,55 to 59, , ,Yes, ,Yes, , ,Rain,Wexford/Maryvale (119)
387,43.700666999999996,-79.427036,2016-09-30T04:00:00.000Z,1928,2016,Major Arterial,Toronto and East York,Mid-Block,Pedestrian,Over 95, , ,Yes, ,Yes, , ,Unknown,Humewood-Cedarvale (106)
388,43.793045,-79.24249,2009-06-30T04:00:00.000Z,1930,2009,Major Arterial,Scarborough,Mid-Block,Pedestrian,70 to 74,Other, ,Yes, , , , ,Unknown,Agincourt South-Malvern West (128)
389,43.667636,-79.37889399999999,2017-03-18T04:00:00.000Z,1932,2017,Major Arterial,Toronto and East York,Mid-Block,Pedestrian,60 to 64, , ,Yes, ,Yes, , ,Rain,North St.James Town (74)
390,43.758383,-79.267612,2018-12-04T05:00:00.000Z,1932,2018,Major Arterial,Scarborough,Mid-Block,Pedestrian,55 to 59, , ,Yes, ,Yes, , ,Unknown,Bendale (127)
