,LATITUDE,LONGITUDE,DATE,TIME,YEAR,ACCIDENT LANE,District,INTERSECTION,VICTIM,VICTIM AGE,VEHTYPE,DRIVACT,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,Cause,Neighbourh
164,43.797945,-79.42009,2008-07-21T04:00:00.000Z,305,2008,Major Arterial,North York,Intersection,Pedestrian,35 to 39,Other, ,Yes, ,Yes, , ,Unknown,Newtonbrook West (36)
165,43.763743,-79.57728900000001,2013-08-03T04:00:00.000Z,305,2013,Major Arterial,Etobicoke York,Mid-Block,Driver,25 to 29,"Automobile, Station Wagon",Exceeding Speed Limit, , ,Yes, , ,Alcohol & Speeding,Humber Summit (21)
166,43.807944,-79.314189,2012-10-21T04:00:00.000Z,325,2012,Minor Arterial,Scarborough,Mid-Block,Passenger,20 to 24,Other, , , ,Yes, , ,Alcohol & Speeding,Steeles (116)
167,43.655169,-79.457828,2015-05-16T04:00:00.000Z,325,2015,Major Arterial,Toronto and East York,Mid-Block,Pedestrian,40 to 44, , ,Yes, ,Yes, , ,Unknown,High Park-Swansea (87)
168,43.739379,-79.513202,2016-04-10T04:00:00.000Z,326,2016,Major Arterial,North York,Intersection,Passenger,20 to 24, , , , ,Yes, , ,Speeding,Glenfield-Jane Heights (25)
169,43.739379,-79.513202,2016-04-10T04:00:00.000Z,326,2016,Major Arterial,North York,Intersection,Passenger,20 to 24, , , , ,Yes, , ,Speeding,Glenfield-Jane Heights (25)
170,43.739379,-79.513202,2016-04-10T04:00:00.000Z,326,2016,Major Arterial,North York,Intersection,Passenger,15 to 19, , , , ,Yes, , ,Speeding,Glenfield-Jane Heights (25)
171,43.652745,-79.36319,2010-01-10T05:00:00.000Z,329,2010,Major Arterial,Toronto and East York,Intersection,Driver,35 to 39,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Speeding,Moss Park (73)
172,43.705172,-79.57712099999999,2018-05-30T04:00:00.000Z,329,2018,Major Arterial,Etobicoke York,Intersection,Motorcycle Driver,20 to 24,Motorcycle,Exceeding Speed Limit, , , ,Yes,Yes,Speeding,West Humber-Clairville (1)
173,43.725344,-79.40224,2017-10-05T04:00:00.000Z,331,2017,Major Arterial,North York,Mid-Block,Pedestrian,20 to 24, , ,Yes, , , , ,Unknown,Lawrence Park North (105)
174,43.623107,-79.499957,2018-03-21T04:00:00.000Z,331,2018,Expressway,Etobicoke York,Mid-Block,Passenger,25 to 29, , , , ,Yes, , ,Speeding,Mimico (includes Humber Bay Shores) (17)
175,43.633497999999996,-79.472667,2017-01-29T05:00:00.000Z,345,2017,Expressway,Toronto and East York,Mid-Block,Driver,20 to 24,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Alcohol & Speeding,South Parkdale (85)
176,43.737845,-79.21059,2009-03-08T05:00:00.000Z,350,2009,Collector,Scarborough,Intersection,Passenger,20 to 24,Other, , , ,Yes, , ,Alcohol & Speeding,Scarborough Village (139)
177,43.697508,-79.349437,2014-11-24T05:00:00.000Z,350,2014,Major Arterial,Toronto and East York,Mid-Block,Driver,20 to 24,"Automobile, Station Wagon",Exceeding Speed Limit, , ,Yes, , ,Alcohol & Speeding,Old East York (58)
178,43.650695,-79.540759,2015-10-03T04:00:00.000Z,351,2015,Major Arterial,Etobicoke York,Intersection,Passenger,40 to 44, , , , ,Yes, , ,Speeding,Islington-City Centre West (14)
179,43.669097,-79.352985,2015-01-11T05:00:00.000Z,353,2015,Minor Arterial,Toronto and East York,Mid-Block,Driver,20 to 24,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Speeding,North Riverdale (68)
180,43.653998,-79.4864,2016-04-23T04:00:00.000Z,356,2016,Major Arterial,Toronto and East York,Intersection,Passenger,20 to 24, , , , ,Yes, , ,Speeding,Runnymede-Bloor West Village (89)
181,43.658351,-79.370532,2017-08-15T04:00:00.000Z,407,2017,Major Arterial,Toronto and East York,Mid-Block,Pedestrian,45 to 49, , ,Yes, , , , ,Rain,Moss Park (73)
182,43.681845,-79.46769,2012-10-14T04:00:00.000Z,410,2012,Minor Arterial,Toronto and East York,Intersection,Driver,30 to 34,"Automobile, Station Wagon",Speed too Fast For Condition, , ,Yes, , ,Speeding,Keelesdale-Eglinton West (110)
183,43.707345000000004,-79.49739,2011-07-08T04:00:00.000Z,414,2011,Major Arterial,Etobicoke York,Mid-Block,Driver,25 to 29,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Lost control,Rustic (28)
184,43.703245,-79.52599000000001,2010-09-15T04:00:00.000Z,418,2010,Minor Arterial,Etobicoke York,Mid-Block,Driver,25 to 29,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Speeding,Weston (113)
185,43.769045,-79.23759,2010-12-05T05:00:00.000Z,421,2010,Collector,Scarborough,Mid-Block,Driver,25 to 29,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Lost control,Woburn (137)
186,43.741845,-79.45429,2009-03-07T05:00:00.000Z,440,2009,Expressway,North York,Intersection,Driver,20 to 24,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Lost control,Clanton Park (33)
187,43.670558,-79.476505,2014-08-30T04:00:00.000Z,459,2014,Major Arterial,Etobicoke York,Mid-Block,Pedestrian,30 to 34, , ,Yes, ,Yes, , ,Unknown,Junction Area (90)
188,43.78575,-79.289455,2014-08-16T04:00:00.000Z,515,2014,Major Arterial,Scarborough,Intersection,Pedestrian,85 to 89, , ,Yes, ,Yes, , ,Unknown,Agincourt South-Malvern West (128)
189,43.714343,-79.325488,2012-10-20T04:00:00.000Z,518,2012,Expressway,North York,Mid-Block,Driver,15 to 19,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Lost control,Flemingdon Park (44)
190,43.678645,-79.44329,2011-01-21T05:00:00.000Z,519,2011,Major Arterial,Toronto and East York,Intersection,Pedestrian,55 to 59,Other, ,Yes, , , , ,Snow,Corso Italia-Davenport (92)
191,43.593039000000005,-79.54156,2016-01-08T05:00:00.000Z,520,2016,Major Arterial,Etobicoke York,Mid-Block,Driver,40 to 44,"Automobile, Station Wagon",Speed too Fast For Condition, , ,Yes, , ,Speeding,Long Branch (19)
192,43.672745,-79.35879,2010-03-12T05:00:00.000Z,523,2010,Expressway,Toronto and East York,Mid-Block,Truck Driver,30 to 34,Truck - Open,Speed too Fast For Condition, , , , ,Yes,Speeding,North Riverdale (68)
193,43.700984000000005,-79.42554799999999,2015-11-27T05:00:00.000Z,532,2015,Major Arterial,Toronto and East York,Intersection,Pedestrian,20 to 24, , ,Yes, , , ,Yes,Unknown,Forest Hill South (101)
194,43.743245,-79.58209000000001,2009-12-08T05:00:00.000Z,540,2009,Major Arterial,Etobicoke York,Intersection,Pedestrian,70 to 74,Other, ,Yes, ,Yes, , ,Unknown,Thistletown-Beaumond Heights (3)
195,43.801245,-79.29659000000001,2011-10-10T04:00:00.000Z,540,2011,Major Arterial,Scarborough,Intersection,Driver,25 to 29,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Lost control,L'Amoreaux (117)
196,43.718145,-79.52109,2008-09-28T04:00:00.000Z,545,2008,Expressway,Etobicoke York,Intersection,Driver,55 to 59,"Automobile, Station Wagon",Exceeding Speed Limit, , ,Yes, , ,Speeding,Downsview-Roding-CFB (26)
197,43.690045,-79.58279,2008-10-21T04:00:00.000Z,545,2008,Major Arterial,Etobicoke York,Mid-Block,Truck Driver,20 to 24,Truck - Open,Exceeding Speed Limit, , , , ,Yes,Speeding,West Humber-Clairville (1)
198,43.741145,-79.31929000000001,2011-12-23T05:00:00.000Z,547,2011,Major Arterial,North York,Intersection,Driver,35 to 39,"Automobile, Station Wagon",Improper Turn, , ,Yes, , ,Speeding,Victoria Village (43)
199,43.735545,-79.44279,2011-10-18T04:00:00.000Z,548,2011,Major Arterial,North York,Intersection,Pedestrian,45 to 49,Other, ,Yes, ,Yes, , ,Unknown,Clanton Park (33)
200,43.714745,-79.58519,2008-01-08T05:00:00.000Z,550,2008,Major Arterial,Etobicoke York,Intersection,Passenger,25 to 29,Other, , , ,Yes, , ,Unknown,West Humber-Clairville (1)
201,43.667145,-79.52009,2011-08-22T04:00:00.000Z,551,2011,Minor Arterial,Etobicoke York,Intersection,Driver,50 to 54,"Automobile, Station Wagon",Lost control, , ,Yes, , ,Lost control,Edenbridge-Humber Valley (9)
202,43.73503,-79.617862,2014-07-28T04:00:00.000Z,553,2014,Major Arterial,Etobicoke York,Intersection,Pedestrian,30 to 34, , ,Yes, , , , ,Rain,West Humber-Clairville (1)
203,43.758245,-79.51239,2012-04-02T04:00:00.000Z,555,2012,Major Arterial,Etobicoke York,Mid-Block,Pedestrian,45 to 49,Other, ,Yes, ,Yes, , ,Unknown,Glenfield-Jane Heights (25)
204,43.734159999999996,-79.60306899999999,2013-07-25T04:00:00.000Z,1346,2013,Major Arterial,Etobicoke York,Intersection,Pedestrian,25 to 29,Other, ,Yes, ,Yes, , ,Unknown,West Humber-Clairville (1)
205,43.767745,-79.38309,2009-01-06T05:00:00.000Z,1349,2009,Major Arterial,North York,Intersection,Pedestrian,65 to 69,Other, ,Yes, ,Yes, , ,Unknown,Bayview Village (52)
